Cruise Embark Date,Age Banding,Cruise Ship Name,SubTrade,Lifestage,Lead Time (Days),Mosaic Group,Mosaic Type,Net Weekly HH Income,Total Children,Faretype,Cabin Meta,Cruise Experience,Cruises Completed with HAL,Region,Contactability,Duration
5/10/2018,55 - 64 Years,Koningsdam,Coastals,Empty Nesters,160,Prestige Positions,Alpha Families,478.3,0,Select Fare,Balcony,Past Guest,2,US West Coast,Mailable and Emailable,3
2/9/2018,55 - 64 Years,Nieuw Statendam,Norway Fjord,Empty Nesters,202,Suburban Stability,Boomerang Boarders,478.3,0,Select Fare,Inside,Past Guest,1,US West Coast,Emailable Only,7
20/07/2018,65 - 74 Years,Koningsdam,Alaska RT Seattle,Older Singles,89,Prestige Positions,Diamond Days,478.3,0,Early Saver,Inside,Past Guest,1,US West Coast,Mailable and Emailable,7
3/1/2018,55 - 64 Years,Westerdam,Uk-Uk South America,Empty Nesters,653,Prestige Positions,Alpha Families,478.3,0,Saver,Inside,Past Guest,2,South America,Mailable Only,65
30/08/2018,55 - 64 Years,Amsterdam,Australia/NZ,Empty Nesters,238,Suburban Stability,Fledgling Free,478.3,0,Select Fare,Mini Suite,Past Guest,2,US West Coast Coast,Emailable Only,14
3/9/2018,75 - 84 Years,Zaandam,Canada / New England,Older Singles,343,Prestige Positions,Diamond Days,478.3,0,Select Fare,Balcony,Past Guest,1,US Central,Mailable and Emailable,30
27/04/2018,65 - 74 Years,Eurodam,Coastals,Retired Couples,435,Country Living,Rural Vogue,478.3,0,Select Fare,Inside,Past Guest,5,US Central,Mailable Only,2
26/10/2018,65 - 74 Years,Nieuw Statendam,Caribbean Transatlantic,Retired Couples,166,Senior Security,Legacy Elders,478.3,0,Select Fare,Outside,Past Guest,4,US West Coast Coast,Mailable and Emailable,15
5/10/2018,45 - 54 Years,Koningsdam,Coastals,Family,23,Domestic Success,Mid-Career Convention,478.3,0,Select Fare,Balcony,Past Guest,8,US Central,Mailable and Emailable,3
20/10/2018,65 - 74 Years,Zaandam,Panama Canal,Retired Couples,308,Urban Cohesion,Ageing Access,478.3,0,Select Fare,Balcony,Past Guest,1,US West Coast Coast,Mailable and Emailable,28
19/08/2018,65 - 74 Years,Westerdam,Atlantic Islands,Retired Couples,272,Senior Security,Bungalow Haven,478.3,0,Select Fare,Balcony,Past Guest,11,US Central,Mailable and Emailable,12
28/10/2018,85 - 94 Years,Amsterdam,Alaska RT Seattle,Elderly Couples,252,Senior Security,Classic Grandparents,478.3,0,Select Fare,Balcony,Past Guest,20,US Central,Emailable Only,12
2/2/2018,55 - 64 Years,Nieuw Statendam,Caribbean Southern,Empty Nesters,24,Suburban Stability,Boomerang Boarders,478.3,0,Select Fare,Mini Suite,Past Guest,3,US West Coast,Emailable Only,14
1/12/2017,75 - 84 Years,Eurodam,Caribbean Eastern,Elderly Couples,335,Senior Security,Solo Retirees,478.3,0,Select Fare,Balcony,Newcomer,0,US West Coast,Emailable Only,14
5/2/2018,55 - 64 Years,Koningsdam,Panama Canal,Empty Nesters,676,Prestige Positions,Alpha Families,478.3,0,Early Saver,Balcony,Past Guest,6,US West Coast,Mailable and Emailable,35
4/7/2018,65 - 74 Years,Westerdam,Western Mediterranean,Retired Couples,40,Modest Traditions,Down-to-Earth Owners,478.3,0,Select Fare,Inside,Past Guest,2,US West Coast,Emailable Only,17
21/04/2018,75 - 84 Years,Koningsdam,Atlantic Islands,Older Singles,131,Prestige Positions,Diamond Days,478.3,0,Select Fare,Inside,Past Guest,6,US Central,Mailable Only,13
9/2/2018,65 - 74 Years,Eurodam,Caribbean Southern,Retired Couples,84,Prestige Positions,Empty-Nest Adventure,478.3,0,Early Saver,Inside,Past Guest,30,US West Coast,Mailable and Emailable,14
9/2/2018,65 - 74 Years,Eurodam,Caribbean Southern,Retired Couples,84,Prestige Positions,Empty-Nest Adventure,478.3,0,Select Fare,Inside,Past Guest,31,US West Coast,Mailable and Emailable,14
11/2/2018,45 - 54 Years,Prinsendam,Atlantic Islands,Empty Nesters,79,Prestige Positions,Alpha Families,478.3,0,Select Fare,Inside,Past Guest,4,US West Coast Coast,Mailable and Emailable,12
4/10/2018,65 - 74 Years,Amsterdam,Alaska RT YVR,Retired Couples,453,Senior Security,Classic Grandparents,478.3,0,Select Fare,Outside,Past Guest,11,US West Coast,Emailable Only,14
11/2/2018,55 - 64 Years,Amsterdam,Panama Canal,Empty Nesters,123,Prestige Positions,Bank of Mum and Dad,478.3,0,Select Fare,Inside,Past Guest,2,US West Coast Coast,Mailable Only,28
21/12/2017,75 - 84 Years,Koningsdam,Atlantic Islands,Elderly Couples,316,Prestige Positions,Empty-Nest Adventure,478.3,0,Early Saver,Inside,Past Guest,3,US West Coast Coast,Emailable Only,14
29/10/2018,55 - 64 Years,Koningsdam,Atlantic Islands,Empty Nesters,224,Suburban Stability,Boomerang Boarders,478.3,0,Select Fare,Inside,Past Guest,17,US Central,Emailable Only,12
21/11/2018,65 - 74 Years,Amsterdam,Alaska RT Seattle,Retired Couples,98,Prestige Positions,Empty-Nest Adventure,478.3,0,Select Fare,Outside,Past Guest,3,US Central,Mailable Only,10
23/05/2018,65 - 74 Years,Prinsendam,Australia/NZ,Retired Couples,175,Prestige Positions,Empty-Nest Adventure,478.3,0,Select Fare,Mini Suite,Past Guest,1,US West Coast Coast,Mailable and Emailable,19
23/07/2018,55 - 64 Years,Prinsendam,Greenland,Empty Nesters,66,Prestige Positions,Bank of Mum and Dad,478.4,0,Select Fare,Outside,Past Guest,10,US West Coast,Mailable Only,19
17/11/2018,45 - 54 Years,Zaandam,Coastals,Family,600,Family Basics,Solid Economy,478.4,0,Select Fare,Outside,Past Guest,5,US West Coast,Mailable Only,4
7/12/2017,65 - 74 Years,Prinsendam,Atlantic Islands,Retired Couples,415,Prestige Positions,Diamond Days,478.4,0,Early Saver,Mini Suite,Past Guest,2,US West Coast,Emailable Only,14
28/10/2018,65 - 74 Years,Westerdam,Australia/NZ,Retired Couples,59,Suburban Stability,Fledgling Free,478.5,0,Select Fare,Inside,Past Guest,4,US West Coast,Emailable Only,17
16/03/2018,65 - 74 Years,Nieuw Statendam,Caribbean Transatlantic,Retired Couples,676,Senior Security,Classic Grandparents,478.5,0,Select Fare,Inside,Past Guest,1,US West Coast,Mailable Only,14
28/03/2018,18 - 24 Years,Koningsdam,Atlantic Islands,PreFamily,156,Country Living,Wealthy Landowners,478.5,0,Select Fare,Outside,Past Guest,6,Australia,Emailable Only,12
30/01/2018,75 - 84 Years,Prinsendam,Atlantic Islands,Elderly Couples,67,Suburban Stability,Boomerang Boarders,478.5,0,Select Fare,Outside,Past Guest,4,Australia,Emailable Only,12
23/07/2018,75 - 84 Years,Prinsendam,Greenland,Older Singles,42,Senior Security,Solo Retirees,478.5,0,Select Fare,Inside,Past Guest,27,Australia,Mailable Only,19
16/02/2018,65 - 74 Years,Nieuw Statendam,Caribbean Southern,Retired Couples,181,Aspiring Homemakers,Affordable Fringe,478.5,0,Select Fare,Inside,Past Guest,27,Australia,Mailable Only,14
13/04/2018,65 - 74 Years,Eurodam,Western Mediterranean,Retired Couples,107,Suburban Stability,Dependable Me,478.6,0,Early Saver,Inside,Past Guest,5,Australia,Mailable Only,14
29/07/2018,18 - 24 Years,Nieuw Statendam,Western Mediterranean,Family,244,Domestic Success,Thriving Independence,478.6,1,Select Fare,Inside,Past Guest,2,Australia,Emailable Only,14
17/11/2018,75 - 84 Years,Eurodam,Caribbean Eastern,Elderly Couples,178,Prestige Positions,Diamond Days,478.6,0,Select Fare,Balcony,Past Guest,2,Japan,Emailable Only,14
6/5/2018,65 - 74 Years,Eurodam,Atlantic Islands,Older Singles,39,Suburban Stability,Dependable Me,478.6,0,Select Fare,Mini Suite,Past Guest,1,Japan,Mailable and Emailable,13
3/11/2018,45 - 54 Years,Eurodam,Caribbean Eastern,Empty Nesters,190,Rural Reality,Satellite Settlers,478.6,0,Select Fare,Mini Suite,Past Guest,19,Japan,Mailable and Emailable,14
19/05/2018,75 - 84 Years,Eurodam,Norway Fjord,Elderly Couples,58,Senior Security,Solo Retirees,478.7,0,Select Fare,Balcony,Past Guest,1,Japan,Emailable Only,7
2/2/2018,55 - 64 Years,Nieuw Statendam,Caribbean Southern,Empty Nesters,35,Rural Reality,Satellite Settlers,478.7,0,Select Fare,Mini Suite,Past Guest,1,Japan,Mailable and Emailable,14
5/10/2018,35 - 44 Years,Koningsdam,Coastals,PreFamily,94,Country Living,Rural Vogue,478.7,0,Select Fare,Inside,Past Guest,2,US West Coast,Mailable and Emailable,3
15/09/2018,65 - 74 Years,Eurodam,Atlantic Islands,Retired Couples,144,Country Living,Scattered Homesteads,478.7,0,Select Fare,Inside,Past Guest,1,US West Coast Coast,Mailable Only,13
21/12/2017,65 - 74 Years,Koningsdam,Atlantic Islands,Retired Couples,445,Country Living,Wealthy Landowners,478.9,0,Select Fare,Inside,Past Guest,2,US West Coast,Mailable Only,14
21/06/2018,55 - 64 Years,Amsterdam,Australia/NZ,Empty Nesters,162,Rural Reality,Satellite Settlers,478.9,0,Early Saver,Balcony,Past Guest,1,Japan,Emailable Only,7
17/06/2018,75 - 84 Years,Koningsdam,Western Mediterranean,Older Singles,257,Senior Security,Bungalow Haven,478.9,0,Select Fare,Outside,Past Guest,6,US West Coast,Emailable Only,14
15/07/2018,65 - 74 Years,Nieuw Statendam,Alaska RT Seattle,Retired Couples,77,Prestige Positions,Empty-Nest Adventure,478.9,0,Select Fare,Balcony,Past Guest,2,US West Coast,Emailable Only,7
29/12/2017,65 - 74 Years,Amsterdam,Coastals,Retired Couples,364,Country Living,Village Retirement,478.9,0,Select Fare,Balcony,Past Guest,2,US West Coast Coast,Mailable Only,5
26/10/2018,55 - 64 Years,Nieuw Statendam,Caribbean Transatlantic,Empty Nesters,258,Transient Renters,Midlife Stopgap,478.9,0,Select Fare,Outside,Newcomer,0,US West Coast,Emailable Only,15
10/5/2018,85 - 94 Years,Amsterdam,Japan,Elderly Couples,49,Country Living,Village Retirement,478.9,0,Select Fare,Balcony,Past Guest,1,US West Coast Coast,Emailable Only,7
16/09/2018,45 - 54 Years,Nieuw Statendam,Western Mediterranean,Empty Nesters,76,Suburban Stability,Family Ties,478.9,0,Early Saver,Deluxe Balcony,Past Guest,10,US West Coast,Emailable Only,14
27/01/2018,45 - 54 Years,Nieuw Statendam,Caribbean Southern,Empty Nesters,310,Prestige Positions,Bank of Mum and Dad,478.9,0,Select Fare,Inside,Past Guest,3,US West Coast,Mailable and Emailable,14
28/05/2018,45 - 54 Years,Zaandam,Western Mediterranean,Empty Nesters,455,Suburban Stability,Fledgling Free,478.9,0,Select Fare,Mini Suite,Past Guest,1,Australia,Mailable Only,17
5/8/2018,55 - 64 Years,Zaandam,Norway Fjord,Empty Nesters,330,Suburban Stability,Family Ties,478.9,0,Select Fare,Inside,Past Guest,14,US West Coast Coast,Mailable and Emailable,12
12/8/2018,45 - 54 Years,Nieuw Statendam,Norway Fjord,Family,164,Transient Renters,Midlife Stopgap,479,1,Select Fare,Balcony,Past Guest,2,US West Coast,Mailable Only,7
26/05/2018,45 - 54 Years,Eurodam,Alaska RT Seattle,Family,76,Aspiring Homemakers,Primary Ambitions,479,0,Select Fare,Balcony,Past Guest,2,US West Coast,Emailable Only,7
9/9/2018,65 - 74 Years,Nieuw Statendam,Alaska RT Seattle,Retired Couples,207,Suburban Stability,Boomerang Boarders,479,0,Select Fare,Inside,Past Guest,1,US West Coast Coast,Mailable and Emailable,7
26/04/2018,75 - 84 Years,Amsterdam,Australia/NZ,Elderly Couples,49,Country Living,Wealthy Landowners,479.1,0,Saver,Inside,Past Guest,3,US West Coast Coast,Mailable Only,7
23/12/2017,55 - 64 Years,Nieuw Statendam,Caribbean Southern,Empty Nesters,565,Country Living,Village Retirement,479.2,0,Select Fare,Mini Suite,Past Guest,5,Japan,Mailable Only,14
30/06/2018,55 - 64 Years,Eurodam,TransPacific,Empty Nesters,150,Domestic Success,Thriving Independence,479.2,0,Saver,Balcony,Newcomer,0,US West Coast,Mailable and Emailable,14
17/05/2018,75 - 84 Years,Amsterdam,Australia/NZ,Elderly Couples,382,Prestige Positions,Empty-Nest Adventure,479.2,0,Early Saver,Inside,Past Guest,34,US West Coast,Mailable Only,7
17/11/2018,55 - 64 Years,Eurodam,Caribbean Eastern,Empty Nesters,302,Prestige Positions,Empty-Nest Adventure,479.2,0,Saver,Outside,Past Guest,34,US West Coast,Mailable Only,14
17/08/2018,65 - 74 Years,Koningsdam,Norway Fjord,Retired Couples,60,Suburban Stability,Fledgling Free,479.2,0,Select Fare,Outside,Past Guest,28,South America,Mailable and Emailable,7
2/12/2017,65 - 74 Years,Nieuw Statendam,Caribbean Eastern,Retired Couples,95,Rural Reality,Satellite Settlers,479.2,0,Early Saver,Inside,Past Guest,1,South America,Mailable Only,14
27/07/2018,45 - 54 Years,Koningsdam,Coastals,Empty Nesters,181,Rural Reality,Local Focus,479.2,0,Select Fare,Deluxe Balcony,Past Guest,2,South America,Emailable Only,2
20/05/2018,45 - 54 Years,Nieuw Statendam,Alaska RT Seattle,Empty Nesters,221,Domestic Success,Mid-Career Convention,479.2,0,Select Fare,Balcony,Past Guest,7,South America,Mailable and Emailable,7
4/1/2018,45 - 54 Years,Koningsdam,Panama Canal,Empty Nesters,313,Prestige Positions,Alpha Families,479.2,0,Select Fare,Balcony,Past Guest,6,South America,Mailable Only,28
8/10/2018,55 - 64 Years,Koningsdam,Alaska RT Seattle,Empty Nesters,112,Suburban Stability,Boomerang Boarders,479.2,0,Select Fare,Balcony,Past Guest,6,South America,Emailable Only,12
22/12/2017,65 - 74 Years,Nieuw Statendam,Caribbean Southern,Retired Couples,639,Suburban Stability,Boomerang Boarders,479.2,0,Select Fare,Outside,Past Guest,6,South America,Mailable Only,14
28/03/2018,75 - 84 Years,Koningsdam,Atlantic Islands,Elderly Couples,293,Country Living,Village Retirement,479.2,0,Select Fare,Inside,Past Guest,6,South America,Mailable and Emailable,12
5/2/2018,65 - 74 Years,Koningsdam,Panama Canal,Retired Couples,173,Prestige Positions,Bank of Mum and Dad,479.2,0,Select Fare,Inside,Past Guest,1,South America,Mailable Only,35
16/12/2017,65 - 74 Years,Zaandam,Panama Canal,Retired Couples,83,Senior Security,Classic Grandparents,479.2,0,Select Fare,Outside,Past Guest,8,South America,Mailable Only,24
18/09/2018,65 - 74 Years,Koningsdam,Australia/NZ,Retired Couples,343,Senior Security,Classic Grandparents,479.3,0,Select Fare,Outside,Past Guest,8,US Central,Mailable Only,17
16/12/2017,45 - 54 Years,Eurodam,Caribbean Southern,Family,617,Domestic Success,Mid-Career Convention,479.3,2,Select Fare,Outside,Newcomer,0,US East Coast,Mailable Only,14
13/04/2018,65 - 74 Years,Eurodam,Western Mediterranean,Retired Couples,66,Suburban Stability,Fledgling Free,479.3,0,Early Saver,Balcony,Past Guest,10,US Central,Mailable and Emailable,14
22/07/2018,55 - 64 Years,Nieuw Statendam,Norway Fjord,Empty Nesters,102,Suburban Stability,Family Ties,479.3,0,Select Fare,Inside,Past Guest,19,US Central,Mailable Only,7
11/2/2018,75 - 84 Years,Amsterdam,Panama Canal,Elderly Couples,350,Senior Security,Bungalow Haven,479.3,0,Select Fare,Deluxe Balcony,Newcomer,0,US Central,Mailable and Emailable,28
23/11/2018,65 - 74 Years,Koningsdam,Coastals,Retired Couples,234,Prestige Positions,Bank of Mum and Dad,479.3,0,Select Fare,Balcony,Newcomer,0,US Central,Mailable and Emailable,3
31/05/2018,45 - 54 Years,Amsterdam,Japan,Empty Nesters,123,Aspiring Homemakers,Contemporary Starts,479.3,0,Select Fare,Balcony,Past Guest,1,US Central,Mailable and Emailable,7
24/06/2018,55 - 64 Years,Nieuw Statendam,Baltic,Empty Nesters,358,Rental Hubs,Career Builders,479.3,0,Select Fare,Balcony,Past Guest,2,US West Coast Coast,Mailable Only,14
15/04/2018,65 - 74 Years,Westerdam,Australia/NZ,Retired Couples,205,Senior Security,Solo Retirees,479.3,0,Select Fare,Inside,Past Guest,4,US West Coast Coast,Emailable Only,17
9/9/2018,65 - 74 Years,Nieuw Statendam,Alaska RT Seattle,Retired Couples,105,Suburban Stability,Fledgling Free,479.3,0,Select Fare,Outside,Past Guest,31,US West Coast Coast,Mailable Only,7
9/9/2018,65 - 74 Years,Nieuw Statendam,Alaska RT Seattle,Retired Couples,227,Suburban Stability,Fledgling Free,479.3,0,Select Fare,Deluxe Balcony,Past Guest,5,US West Coast Coast,Emailable Only,7
19/04/2018,75 - 84 Years,Zaandam,Alaska RT Seattle,Elderly Couples,200,Senior Security,Solo Retirees,479.4,0,Select Fare,Inside,Past Guest,9,US West Coast Coast,Mailable Only,15
9/2/2018,55 - 64 Years,Eurodam,Caribbean Southern,Empty Nesters,16,Domestic Success,Thriving Independence,479.4,0,Select Fare,Balcony,Past Guest,20,Europe,Emailable Only,14
14/06/2018,75 - 84 Years,Zaandam,Australia/NZ,Elderly Couples,351,Senior Security,Bungalow Haven,479.4,0,Select Fare,Outside,Newcomer,0,US West Coast,Mailable Only,17
19/04/2018,75 - 84 Years,Amsterdam,Japan,Elderly Couples,223,Senior Security,Bungalow Haven,479.4,0,Saver,Inside,Newcomer,0,Europe,Mailable Only,14
6/12/2017,65 - 74 Years,Westerdam,Baltic,Older Singles,64,Vintage Value,Aided Elderly,479.4,0,Select Fare,Balcony,Past Guest,7,US West Coast,Emailable Only,10
29/12/2017,65 - 74 Years,Amsterdam,Coastals,Retired Couples,50,Prestige Positions,Diamond Days,479.4,0,Select Fare,Inside,Past Guest,30,Europe,Emailable Only,5
19/10/2018,75 - 84 Years,Eurodam,Caribbean Transatlantic,Elderly Couples,133,Senior Security,Classic Grandparents,479.4,0,Saver,Inside,Past Guest,1,Europe,Mailable and Emailable,15
13/08/2018,45 - 54 Years,Prinsendam,Australia/NZ,Empty Nesters,690,Senior Security,Bungalow Haven,479.4,0,Select Fare,Balcony,Past Guest,1,US West Coast,Emailable Only,19
31/08/2018,65 - 74 Years,Westerdam,Baltic,Retired Couples,121,Urban Cohesion,Community Elders,479.4,0,Select Fare,Balcony,Past Guest,1,Australia,Mailable Only,14
3/11/2018,55 - 64 Years,Eurodam,Caribbean Eastern,Empty Nesters,473,Suburban Stability,Boomerang Boarders,479.5,0,Select Fare,Balcony,Newcomer,0,US West Coast,Mailable and Emailable,14
6/1/2018,65 - 74 Years,Nieuw Statendam,Caribbean Southern,Older Singles,362,Senior Security,Solo Retirees,479.5,0,Select Fare,Outside,Past Guest,2,Australia,Mailable and Emailable,14
13/08/2018,65 - 74 Years,Prinsendam,Australia/NZ,Retired Couples,10,Prestige Positions,Bank of Mum and Dad,479.5,0,Saver,Balcony,Past Guest,11,US West Coast,Mailable and Emailable,19
3/10/2018,65 - 74 Years,Zaandam,Western Mediterranean,Retired Couples,320,Rural Reality,Outlying Seniors,479.5,0,Select Fare,Balcony,Past Guest,3,Australia,Mailable Only,17
28/10/2018,75 - 84 Years,Amsterdam,Alaska RT Seattle,Elderly Couples,150,Senior Security,Legacy Elders,479.6,0,Select Fare,Inside,Past Guest,2,US West Coast,Emailable Only,12
26/11/2018,65 - 74 Years,Koningsdam,Atlantic Islands,Family,251,Suburban Stability,Fledgling Free,479.6,0,Select Fare,Balcony,Past Guest,4,US West Coast,Emailable Only,13
30/09/2018,75 - 84 Years,Nieuw Statendam,Atlantic Islands,Elderly Couples,174,Senior Security,Classic Grandparents,479.6,0,Select Fare,Balcony,Past Guest,11,Australia,Emailable Only,12
17/11/2018,45 - 54 Years,Zaandam,Coastals,Empty Nesters,26,Domestic Success,Thriving Independence,479.6,0,Saver,Inside,Past Guest,5,Australia,Mailable and Emailable,4
17/11/2018,55 - 64 Years,Zaandam,Coastals,Empty Nesters,26,Domestic Success,Thriving Independence,479.6,0,Early Saver,Balcony,Newcomer,0,US West Coast Coast,Emailable Only,4
23/03/2018,45 - 54 Years,Amsterdam,Coastals,Empty Nesters,483,Modest Traditions,Offspring Overspill,479.6,0,Select Fare,Balcony,Past Guest,3,US West Coast Coast,Mailable and Emailable,3
24/11/2018,45 - 54 Years,Nieuw Statendam,Caribbean Eastern,Empty Nesters,598,Urban Cohesion,Cultural Comfort,479.6,0,Saver,Balcony,Past Guest,6,US West Coast Coast,Mailable and Emailable,14
4/6/2018,75 - 84 Years,Westerdam,Norway Fjord,Elderly Couples,407,Senior Security,Solo Retirees,479.6,0,Select Fare,Inside,Past Guest,2,Australia,Mailable Only,12
15/10/2018,75 - 84 Years,Westerdam,Atlantic Islands,Elderly Couples,238,Senior Security,Solo Retirees,479.6,0,Select Fare,Suite,Past Guest,13,US West Coast,Mailable Only,13
9/1/2018,65 - 74 Years,Zaandam,World,Retired Couples,384,Urban Cohesion,Cultural Comfort,479.9,0,Saver,Balcony,Past Guest,3,Australia,Mailable Only,17
23/11/2018,65 - 74 Years,Koningsdam,Coastals,Retired Couples,234,Suburban Stability,Dependable Me,480,0,Select Fare,Balcony,Past Guest,8,US Central,Emailable Only,3
17/02/2018,65 - 74 Years,Nieuw Statendam,Caribbean Southern,Retired Couples,31,Prestige Positions,Bank of Mum and Dad,480,0,Early Saver,Inside,Past Guest,7,US Central,Mailable and Emailable,14
3/6/2018,45 - 54 Years,Nieuw Statendam,Western Mediterranean,Empty Nesters,191,Suburban Stability,Dependable Me,480,0,Select Fare,Inside,Past Guest,14,US Central,Mailable Only,14
27/07/2018,45 - 54 Years,Koningsdam,Coastals,Empty Nesters,671,Suburban Stability,Family Ties,480,0,Early Saver,Inside,Past Guest,56,US Central,Mailable and Emailable,2
8/7/2018,65 - 74 Years,Zaandam,Baltic,Retired Couples,664,Suburban Stability,Fledgling Free,480,0,Select Fare,Balcony,Past Guest,2,US Central,Mailable Only,14
6/5/2018,75 - 84 Years,Eurodam,Atlantic Islands,Elderly Couples,95,Senior Security,Solo Retirees,480,0,Select Fare,Balcony,Past Guest,35,US Central,Mailable Only,13
3/6/2018,45 - 54 Years,Nieuw Statendam,Western Mediterranean,Empty Nesters,606,Aspiring Homemakers,First-Rung Futures,480,0,Select Fare,Balcony,Past Guest,5,US Central,Emailable Only,14
17/03/2018,55 - 64 Years,Nieuw Statendam,Caribbean Transatlantic,Empty Nesters,628,Vintage Value,Pocket Pensions,480,0,Select Fare,Suite,Newcomer,0,US Central,Mailable Only,13
13/07/2018,55 - 64 Years,Prinsendam,Alaska RT Seattle,Empty Nesters,474,Suburban Stability,Fledgling Free,480,0,Select Fare,Inside,Past Guest,1,US Central,Mailable and Emailable,7
22/07/2018,55 - 64 Years,Zaandam,Western Mediterranean,Empty Nesters,374,Senior Security,Bungalow Haven,480,0,Select Fare,Inside,Past Guest,1,US Central,Mailable Only,14
4/1/2018,65 - 74 Years,Koningsdam,Panama Canal,Retired Couples,12,Suburban Stability,Boomerang Boarders,480,0,Select Fare,Balcony,Past Guest,2,US East Coast,Emailable Only,28
16/06/2018,65 - 74 Years,Westerdam,TransPacific,Retired Couples,342,Vintage Value,Aided Elderly,480,0,Select Fare,Outside,Past Guest,4,US East Coast,Mailable and Emailable,14
30/06/2018,65 - 74 Years,Westerdam,Coastals,Retired Couples,356,Vintage Value,Dependent Greys,480,0,Saver,Outside,Past Guest,1,Australia,Mailable Only,4
23/12/2017,45 - 54 Years,Nieuw Statendam,Caribbean Southern,Empty Nesters,623,Domestic Success,Mid-Career Convention,480,0,Early Saver,Balcony,Past Guest,3,Australia,Emailable Only,7
17/08/2018,75 - 84 Years,Koningsdam,Norway Fjord,Older Singles,54,Senior Security,Bungalow Haven,480,0,Early Saver,Balcony,Newcomer,0,Australia,Emailable Only,7
21/04/2018,85 - 94 Years,Koningsdam,Atlantic Islands,Elderly Couples,46,Senior Security,Solo Retirees,480,0,Select Fare,Balcony,Past Guest,11,US West Coast,Mailable and Emailable,13
14/07/2018,65 - 74 Years,Eurodam,Norway Fjord,Retired Couples,132,Modest Traditions,Down-to-Earth Owners,480,0,Select Fare,Inside,Past Guest,8,US West Coast,Emailable Only,7
13/05/2018,65 - 74 Years,Nieuw Statendam,Norway Fjord,Retired Couples,297,Suburban Stability,Fledgling Free,480,0,Saver,Mini Suite,Past Guest,13,Australia,Mailable and Emailable,7
29/10/2018,65 - 74 Years,Koningsdam,Atlantic Islands,Family,758,Country Living,Village Retirement,480.1,0,Select Fare,Deluxe Balcony,Past Guest,4,Australia,Emailable Only,12
13/04/2018,65 - 74 Years,Eurodam,Western Mediterranean,Retired Couples,89,Prestige Positions,Empty-Nest Adventure,480.1,0,Select Fare,Suite,Past Guest,10,US West Coast,Emailable Only,14
17/02/2018,18 - 24 Years,Nieuw Statendam,Caribbean Southern,PreFamily,22,Prestige Positions,Alpha Families,480.1,0,Select Fare,Balcony,Newcomer,0,US West Coast,Mailable Only,14
21/04/2018,55 - 64 Years,Koningsdam,Atlantic Islands,Empty Nesters,47,Prestige Positions,Bank of Mum and Dad,480.1,0,Select Fare,Inside,Past Guest,2,Australia,Mailable and Emailable,13
8/7/2018,45 - 54 Years,Nieuw Statendam,Norway Fjord,Empty Nesters,92,Domestic Success,Mid-Career Convention,480.1,0,Select Fare,Balcony,Past Guest,4,US West Coast Coast,Mailable Only,7
22/04/2018,65 - 74 Years,Nieuw Statendam,Norway Fjord,Retired Couples,545,Country Living,Village Retirement,480.1,0,Select Fare,Deluxe Balcony,Past Guest,7,Australia,Mailable and Emailable,7
4/5/2018,65 - 74 Years,Zaandam,Norway Fjord,Retired Couples,34,Prestige Positions,Empty-Nest Adventure,480.1,0,Select Fare,Inside,Past Guest,4,Australia,Mailable Only,7
2/4/2018,55 - 64 Years,Prinsendam,Atlantic Islands,Empty Nesters,560,Prestige Positions,Empty-Nest Adventure,480.1,0,Saver,Balcony,Past Guest,3,Australia,Emailable Only,18
15/07/2018,65 - 74 Years,Nieuw Statendam,Alaska RT Seattle,Retired Couples,84,Country Living,Village Retirement,480.1,0,Select Fare,Inside,Past Guest,4,Australia,Emailable Only,7
9/3/2018,55 - 64 Years,Eurodam,Caribbean Transatlantic,Empty Nesters,45,Country Living,Wealthy Landowners,480.1,0,Select Fare,Balcony,Past Guest,4,US West Coast Coast,Mailable Only,14
30/09/2018,75 - 84 Years,Nieuw Statendam,Atlantic Islands,Elderly Couples,123,Country Living,Village Retirement,480.1,0,Select Fare,Inside,Past Guest,22,South America,Mailable Only,12
17/08/2018,45 - 54 Years,Koningsdam,Norway Fjord,Family,327,Prestige Positions,Alpha Families,480.1,1,Early Saver,Inside,Past Guest,3,South America,Mailable Only,7
21/11/2018,35 - 44 Years,Amsterdam,Alaska RT Seattle,PreFamily,98,Country Living,Village Retirement,480.1,0,Select Fare,Mini Suite,Past Guest,12,South America,Mailable and Emailable,10
2/12/2017,65 - 74 Years,Eurodam,Caribbean Eastern,Retired Couples,75,Country Living,Wealthy Landowners,480.1,0,Select Fare,Balcony,Past Guest,3,South America,Mailable Only,14
10/11/2018,45 - 54 Years,Nieuw Statendam,Caribbean Eastern,Empty Nesters,141,Domestic Success,Modern Parents,480.1,0,Select Fare,Inside,Newcomer,0,South America,Emailable Only,14
28/09/2018,25 - 34 Years,Eurodam,Coastals,PreFamily,62,Rural Reality,Outlying Seniors,480.2,0,Select Fare,Inside,Past Guest,1,South America,Mailable Only,2
14/07/2018,75 - 84 Years,Eurodam,Norway Fjord,Elderly Couples,46,Modest Traditions,Down-to-Earth Owners,480.2,0,Saver,Outside,Past Guest,4,South America,Mailable Only,7
11/5/2018,35 - 44 Years,Nieuw Statendam,Coastals,PreFamily,71,Rental Hubs,Bus-Route Renters,480.2,0,Select Fare,Inside,Past Guest,1,South America,Emailable Only,2
9/6/2018,55 - 64 Years,Eurodam,Baltic,Empty Nesters,290,Modest Traditions,Self Supporters,480.2,0,Select Fare,Inside,Past Guest,1,US Central,Mailable and Emailable,14
